segmento;peca;item;material;arquivo;x_cm;y_cm;largura_cm;altura_cm;rotacao_graus;pagina_largura_cm;pagina_altura_cm
1;1;ADESIVO BEM VINDO PORTA;ADESIVOS CORTE RETO;;0.5;0;93;15;0;107.3;60.9
1;2;ADESIVO SEM TEXTO PORTA;ADESIVOS CORTE RETO;;0.5;15.3;93;15;0;107.3;60.9
1;3;ADESIVO SEM TEXTO PORTA;ADESIVOS CORTE RETO;;0.5;30.6;93;15;0;107.3;60.9
1;4;ADESIVO SEM TEXTO PORTA;ADESIVOS CORTE RETO;;0.5;45.9;93;15;0;107.3;60.9
1;5;REFRIGERADOS;ADESIVOS CORTE RETO;;93.8;0;13;57;90;107.3;60.9
2;6;REFRIGERADOS;ADESIVOS CORTE RETO;;0.5;0;57;13;0;115.3;13
2;7;BEBIDAS+18;ADESIVOS CORTE RETO;;57.8;0;57;13;0;115.3;13
3;8;PAGUE PELO APP NA LOJA;ADESIVOS CORTE RETO;;0.5;0;42;30;90;118.5;60.3
3;9;PAGUE AQUI;ADESIVOS CORTE RETO;;42.8;0;42;30;90;118.5;60.3
3;10;CONGELADOS;ADESIVOS CORTE RETO;;85.1;0;30;42;0;118.5;60.3
3;11;COMO DESTRAVAR;ADESIVOS CORTE RETO;;0.5;30.3;42;30;90;118.5;60.3
3;12;QR Code Sugestão;ADESIVOS CORTE RETO;;42.8;30.3;20;17;0;118.5;60.3
3;13;QR Code Sugestão;ADESIVOS CORTE RETO;;63.1;30.3;20;17;0;118.5;60.3
3;14;PEGUE E PAGUE;ADESIVOS CORTE RETO;;83.4;42.3;13;13;0;118.5;60.3
3;15;PEGUE E PAGUE;ADESIVOS CORTE RETO;;96.7;42.3;13;13;0;118.5;60.3
3;16;PROIBIDO MENORES 18 ANOS;ADESIVOS CORTE RETO;;42.8;47.6;10;10;0;118.5;60.3
3;17;NÃO SAIA;ADESIVOS CORTE RETO;;53.1;47.6;10;10;0;118.5;60.3
3;18;NÃO SAIA;ADESIVOS CORTE RETO;;63.4;47.6;10;10;0;118.5;60.3
3;19;ADESIVO QR CODE 2;ADESIVOS CORTE RETO;;110;42.3;8;8;0;118.5;60.3
3;20;ADESIVO QR CODE 1;ADESIVOS CORTE RETO;;73.7;47.6;8;8;0;118.5;60.3
4;21;QR Code Wi Fi;ADESIVOS CORTE RETO;;0.5;0;20;17;0;61.6;17
4;22;QR Code Wi Fi;ADESIVOS CORTE RETO;;20.8;0;20;17;0;61.6;17
4;23;QR Code Wi Fi;ADESIVOS CORTE RETO;;41.1;0;20;17;0;61.6;17
